 ;7;7;Toliara;Andranomena;Enceinte Aéroport;23.231598;43.432140;12*3;6;5;9;TELMA 019;24;TELMA;;1
 ;12;1;Tsiroanomandidy;Tsiroanomandidy;Près parc de zébu;;;6*3;6;5;5;383;23;TELMA;;1
 ;7;4;Vangaindrano;Vangaindrano;Croisement vers Farafangana en face station Shell;23.202694;47.36466;4*3;6;5;9;TELMA 020;6;TELMA;;1
 ;19;3;Vohémar;Vohémar;Parcage Ambilobe face Total, centre ville devant école st Joseph;13.21234;50.02351;8*3;1;5;3;1B8VOH;24;TELMA;;1
 ;13;3;Ambanja;Ambanja;Marché Ambanja vue vers Diégo;13.413022;48.270732;4*3;6;5;3;3;54;TELMA;;1
 ;1;6;Ambatondrazaka;Ambatondrazaka;à côté station Total;;;4*3;6;5;5;372;5;TELMA;;1
 ;1;6;Ambatondrazaka;Ambatondrazaka;Morarano Chrome, face dépôt LP vers Andilanatoby;;;6*3;6;5;5;510;54;TELMA;;1
 ;13;3;Ambilobe;Antafiakasaka;Face Mairie;;;8*3;6;5;8;RNA 011;54;TELMA;;1
 ;6;7;Amboasary Atsimo;Amboasary Atsimo;Entrée de la ville (code1);;;6*3;6;5;5;385;54;TELMA;;1
 ;2;4;Ambositra;Ambositra;Devant marché Alakamisy;19.50168;47.23809;4*3;6;5;9;TELMA 021;54;TELMA;;1
 ;5;7;Ambovombe;Ambovombe;Devant bureau région, face hôpital;;;6*3;6;5;5;386A;54;TELMA;;1
 ;19;3;Ampanefena;Ampanefena;En face de la gare routière, croisement vers marché, vue vers Sambava;;;6*3;1;5;3;1B6APNFN;54;TELMA;;1
 ;1;6;Amparafaravola;Amparafaravola;Entrée de la ville, côté gare routière;;;4*3;6;5;5;78;46;TELMA;;1
 ;1;6;Amparafaravola;Amparafaravola;Tanambe, entrée ville, borne OTIV;13.23439;48.124024;6*3;6;5;5;511;52;TELMA;;1
 ;1;6;Amparafaravola;Amparafaravola;Marché;;;4*3;6;5;5;79;54;TELMA;;1
 ;16;1;Ampefy;Ampefy;Centre ville;;;6*3;6;5;5;380;5;TELMA;;1
 ;16;1;Analavory;Analavory;Devant Mairie vers Ampefy;;;6*3;6;5;5;379;54;TELMA;;1
 ;19;3;Andapa;Andapa;Devant gendarmerie et école;14.393448;49.39586;4*3;6;5;3;2;4;TELMA;;1
 ;13;3;Ankify;Ankify;Port d'Ankify, près du grand hotel;;;4*3;6;5;3;1;54;TELMA;;1
 ;19;3;Antalaha;Antalaha;A côté botika Orange;14.542717;50.165225;4*3;6;5;8;RNA 012;54;TELMA;;1
 ;1;6;Antanandava (RN2);Antanandava (RN2);En face rond point (Port 7);;;12*3;6;5;5;31;47;TELMA;;1
 ;21;2;Antsirabe;Antsenakely;Marché;19.521059;47.2419;4*3;6;5;9;TELMA 022;54;TELMA;;1
 ;21;2;Antsirabe;Vatofotsy;Entrée de la ville vis TNR-ABE - Ilôt Tomboarivo;19.524131;47.23323;4*3;6;5;9;TELMA 023;54;TELMA;;1
 ;13;3;Antsiranana;Place Foch;Mairie de Diégo ville;;;8,5*7,5;5;5;6;MUR 002;50;TELMA;;1
 ;13;3;Antsiranana;Soafeno;Gymnase couvert façade principale;;;12*3;6;5;8;RNA 013;54;TELMA;;1
 ;20;5;Antsohihy;Antsohihy;Entrée de laville devant région Sofia;14.152429;50.85565;4*3;6;5;3;3;5;TELMA;;1
 ;6;7;Betroka;Betroka;Rond Point devant TK;;;6*3;6;5;5;387;47;TELMA;;1
 ;2;4;Fandriana;Fandriana;Devant vavahady Tsena;20.1433;47.23;6*3;6;5;9;TELMA 024;6;TELMA;;1
 ;14;4;Fianarantsoa;Ankazondrano;Croisement vers Université Andrinjato;21.2706;47.0524;6*3;6;5;9;TELMA 025;54;TELMA;;1
 ;14;4;Fianarantsoa;;Devant gare;21.2653;47.0523;4*3;6;5;9;TELMA 026;54;TELMA;;1
 ;14;4;Fianarantsoa;;En face Tranombarotra TSIKY Ampasimbazaha;21.2644;47.0521;6*6;8;5;9;MDFI002;5;TELMA;;1
 ;6;7;Fort Dauphin;Fort Dauphin;Tanambao en face ASOS devant QMM;-25.026158;46.977959;4*3;6;5;5;169;4;TELMA;;1
 ;6;7;Fort Dauphin;Fort Dauphin;Bazar be, côté gauche de la Mairie;-25.029027;46.996211;4*3;6;5;5;166;54;TELMA;;1
 ;6;7;Fort Dauphin;Fort Dauphin;Ampamakiambato croisement QMM sortie de l'aéroport;-25.029152;46.967382;4*3;6;5;5;161;54;TELMA;;1
 ;7;7;Ifaty;Ifaty;Croisement;23.20858;43.393549;4*3;6;5;9;TELMA 027;4;TELMA;;1
 ;11;5;Mahajanga;Aranta;Nouvelle gare routière Aranta;46.326216;15.72155;4*3;6;5;9;TELMA 028;54;TELMA;;1
 ;11;5;Mahajanga;Majunga Be;La Corniche ;46.302949;15.71941;4*3;6;5;9;TELMA 029;54;TELMA;;1
 ;11;5;Mahajanga;Mangarivotra;près cathédral;46.317336;15.71762;4*3;6;5;9;TELMA 030;4;TELMA;;1
 ;11;5;Mahajanga;Tsaramandroso;Dans enceinthe BAOBAB CITY A;;;4*3;9;5;9;TELMA 031;25;TELMA;;1
 ;4;6;Mahambo;Mahambo;Avant bâtiment marché;13.23439;48.124024;6*3;6;5;5;512;4;TELMA;;1
 ;9;6;Mahanoro;Mahanoro;Devant Telma;;;6*3;6;5;5;370;54;TELMA;;1
 ;22;4;Manakara;Manakara;En face ostie;22.84609;48.04308;4*3;6;5;9;TELMA 032;46;TELMA;;1
 ;22;4;Mananjary;Mananjary;Devant place de l'Indépendance;21.14542;48.205164;4*3;6;5;9;TELMA 033;46;TELMA;;1
 ;3;6;Manjakandriana;Manjakandriana;Croisement vers Mantasoa,  en face Kioska Telma après  petit pont;;;6*3;6;5;5;363;54;TELMA;;1
 ;1;6;Moramanga;Moramanga;Entrée de la ville venant de Tana;;;6*3;6;5;5;69;5;TELMA;;1
 ;1;6;Moramanga;Moramanga;Visible Moramanga-Tana camp des mariés;;;4*3;6;5;5;70;54;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Daresalama face centrale JIRAMA;13.241726;48.16212;8*3;6;5;8;RNA 014;4;TELMA;;1
 ;13;3;Nosy Be;Nosy Be;Centre ville, côté mairie, jardin;22.84609;48.04308;4*3;6;5;3;4;54;TELMA;;1
 ;20;5;Port Bergé;Port Bergé;Place du marché, côté parcage face mairie;;;6*3;1;5;3;1B6PRBR;54;TELMA;;1
